departamento,ano,casos
LORETO,2001,510
UCAYALI,2002,2977
LAMBAYEQUE,2003,79
TUMBES,2004,1552
TUMBES,2005,183
HUANUCO,2006,128
PIURA,2006,865
MADRE DE DIOS,2007,314
PASCO,2007,2
AMAZONAS,2008,648
LORETO,2008,7232
AMAZONAS,2009,158
LAMBAYEQUE,2009,679
LIMA,2009,235
PASCO,2012,80
UCAYALI,2012,11056
ANCASH,2012,1068
AMAZONAS,2013,247
JUNIN,2014,508
AMAZONAS,2016,90
LA LIBERTAD,2016,4650
LAMBAYEQUE,2016,1662
UCAYALI,2016,1007
ANCASH,2017,1720
PASCO,2017,4
AMAZONAS,2017,93
TUMBES,2019,508
UCAYALI,2020,9781
PIURA,2020,125
PASCO,2021,616
ANCASH,2021,28
PUNO,2021,51
AYACUCHO,2022,782
HUANUCO,2022,1580
AYACUCHO,2023,695
ICA,2023,16889
PUNO,2023,267
UCAYALI,2023,8174
SAN MARTIN,2000,218
MADRE DE DIOS,2000,21
AMAZONAS,2001,692
PIURA,2002,101
SAN MARTIN,2003,46
TUMBES,2003,50
PASCO,2003,1
HUANUCO,2004,356
JUNIN,2004,192
UCAYALI,2004,1413
ANCASH,2004,8
LAMBAYEQUE,2005,804
PASCO,2005,3
TUMBES,2007,79
ANCASH,2007,8
LIMA,2007,91
MADRE DE DIOS,2008,45
TUMBES,2008,51
LA LIBERTAD,2009,134
MADRE DE DIOS,2010,2952
ANCASH,2013,454
PASCO,2013,56
LA LIBERTAD,2013,23
LA LIBERTAD,2014,63
CUSCO,2015,248
LIMA,2015,9
LORETO,2016,1686
TUMBES,2016,1089
CUSCO,2017,537
JUNIN,2017,220
MADRE DE DIOS,2019,7398
AYACUCHO,2019,95
CUSCO,2019,54
PASCO,2019,36
CUSCO,2020,2499
ICA,2020,7144
MADRE DE DIOS,2021,1333
ANCASH,2022,2145
SAN MARTIN,2022,4270
UCAYALI,2022,4842
LA LIBERTAD,2022,162
CUSCO,2023,2630
PASCO,2023,1156
LAMBAYEQUE,2001,813
UCAYALI,2001,682
LA LIBERTAD,2001,5718
JUNIN,2001,48
HUANUCO,2002,132
PIURA,2003,1726
UCAYALI,2003,182
PASCO,2004,6
LA LIBERTAD,2004,263
AMAZONAS,2005,409
LIMA,2005,443
JUNIN,2006,189
LAMBAYEQUE,2006,77
SAN MARTIN,2007,677
LAMBAYEQUE,2007,656
UCAYALI,2008,931
LA LIBERTAD,2008,267
HUANUCO,2008,110
PASCO,2008,30
HUANUCO,2009,261
LORETO,2009,3782
PIURA,2009,4033
UCAYALI,2009,1072
JUNIN,2009,245
AMAZONAS,2010,273
LAMBAYEQUE,2010,291
ANCASH,2010,50
PIURA,2011,183
UCAYALI,2011,1770
LAMBAYEQUE,2011,10
LIMA,2012,314
LA LIBERTAD,2012,104
JUNIN,2013,781
SAN MARTIN,2013,1207
TUMBES,2013,250
PUNO,2013,2
CAJAMARCA,2014,295
PIURA,2014,2675
HUANUCO,2015,307
AYACUCHO,2015,268
LORETO,2017,1089
AMAZONAS,2018,109
HUANUCO,2018,25
LORETO,2018,1833
SAN MARTIN,2018,98
PASCO,2018,3
MOQUEGUA,2018,1
CAJAMARCA,2019,398
LAMBAYEQUE,2019,770
AYACUCHO,2020,1583
ICA,2021,4208
UCAYALI,2021,3140
LIMA,2021,1190
AREQUIPA,2021,7
LORETO,2022,8926
PUNO,2022,25
LORETO,2023,6582
MADRE DE DIOS,2023,1853
UCAYALI,2000,97
PIURA,2001,11713
JUNIN,2002,207
TUMBES,2002,13
LORETO,2003,784
HUANUCO,2003,107
CAJAMARCA,2004,383
LAMBAYEQUE,2004,1868
PIURA,2005,51
JUNIN,2005,114
CUSCO,2005,2
TUMBES,2006,243
AMAZONAS,2006,35
CAJAMARCA,2007,125
JUNIN,2007,378
HUANUCO,2007,28
PIURA,2008,1702
SAN MARTIN,2009,450
LORETO,2010,1322
SAN MARTIN,2010,307
TUMBES,2010,1177
LORETO,2012,4382
AYACUCHO,2013,1
LAMBAYEQUE,2013,25
PUNO,2014,13
LAMBAYEQUE,2014,147
LAMBAYEQUE,2015,1103
MADRE DE DIOS,2016,468
PIURA,2016,7610
SAN MARTIN,2016,335
AYACUCHO,2017,1657
ICA,2017,4384
MADRE DE DIOS,2017,565
CALLAO,2017,5
AYACUCHO,2018,202
CUSCO,2018,79
ICA,2018,127
MADRE DE DIOS,2018,1234
LAMBAYEQUE,2018,4
CAJAMARCA,2018,6
LORETO,2019,2547
SAN MARTIN,2019,1969
UCAYALI,2019,213
JUNIN,2020,3738
TUMBES,2020,3093
LA LIBERTAD,2020,390
LA LIBERTAD,2021,262
CAJAMARCA,2022,3639
JUNIN,2022,4157
LAMBAYEQUE,2022,2386
PIURA,2022,12151
CAJAMARCA,2023,7451
LIMA,2023,30735
ANCASH,2023,11658
AMAZONAS,2000,341
LIMA,2001,2
LAMBAYEQUE,2002,45
SAN MARTIN,2002,42
CUSCO,2002,2
AMAZONAS,2003,143
SAN MARTIN,2004,577
LORETO,2005,1772
MADRE DE DIOS,2005,85
UCAYALI,2005,69
LA LIBERTAD,2005,259
LA LIBERTAD,2006,10
LORETO,2007,1720
SAN MARTIN,2008,541
PASCO,2009,29
PIURA,2010,8393
UCAYALI,2010,121
LA LIBERTAD,2010,728
CAJAMARCA,2011,688
JUNIN,2011,87
HUANUCO,2011,136
LA LIBERTAD,2011,17
HUANUCO,2012,336
LAMBAYEQUE,2012,491
SAN MARTIN,2012,2322
LIMA,2013,102
CUSCO,2013,2
UCAYALI,2014,1493
JUNIN,2015,774
LORETO,2015,1630
PASCO,2015,32
SAN MARTIN,2015,220
LA LIBERTAD,2015,2073
AMAZONAS,2015,37
ICA,2015,3
AYACUCHO,2016,2638
HUANUCO,2017,92
PIURA,2017,44275
TUMBES,2017,4145
PIURA,2018,525
JUNIN,2018,51
HUANUCO,2019,35
AMAZONAS,2019,164
LIMA,2019,46
PIURA,2019,70
SAN MARTIN,2020,4955
AYACUCHO,2021,1663
HUANUCO,2021,2811
SAN MARTIN,2021,4532
LAMBAYEQUE,2023,31460
CALLAO,2023,2356
LORETO,2000,518
CAJAMARCA,2001,1100
HUANUCO,2001,159
CAJAMARCA,2002,1176
LORETO,2002,2500
MADRE DE DIOS,2002,12
ANCASH,2002,824
HUANUCO,2005,143
LIMA,2006,10
MADRE DE DIOS,2006,2
LA LIBERTAD,2007,1482
LAMBAYEQUE,2008,718
MADRE DE DIOS,2009,798
JUNIN,2010,140
SAN MARTIN,2011,1437
AMAZONAS,2011,305
PASCO,2011,87
CAJAMARCA,2012,3208
MADRE DE DIOS,2012,2047
TUMBES,2012,592
HUANUCO,2013,67
PIURA,2013,1979
UCAYALI,2013,1059
HUANUCO,2014,129
LORETO,2014,7049
LIMA,2014,4
MADRE DE DIOS,2015,966
PIURA,2015,20042
ANCASH,2015,118
CAJAMARCA,2016,281
PASCO,2016,50
CAJAMARCA,2017,420
LA LIBERTAD,2017,5904
UCAYALI,2017,779
LIMA,2017,362
LA LIBERTAD,2018,3
TUMBES,2018,64
UCAYALI,2018,317
ICA,2019,51
ANCASH,2019,20
PUNO,2019,65
MADRE DE DIOS,2020,3233
LAMBAYEQUE,2020,568
CALLAO,2020,4
AMAZONAS,2022,3575
CUSCO,2022,3687
LIMA,2022,938
MADRE DE DIOS,2022,3641
PASCO,2022,496
TUMBES,2022,723
JUNIN,2023,3580
PIURA,2023,79304
TUMBES,2000,192
LA LIBERTAD,2000,1496
SAN MARTIN,2001,179
TUMBES,2001,1803
ANCASH,2001,4
CAJAMARCA,2003,114
ANCASH,2003,1
LORETO,2004,2580
PIURA,2004,37
SAN MARTIN,2005,172
LORETO,2006,1995
SAN MARTIN,2006,170
CAJAMARCA,2009,477
ANCASH,2009,224
HUANUCO,2010,214
LIMA,2010,90
LORETO,2011,21245
CUSCO,2011,57
JUNIN,2012,736
PIURA,2012,1181
PUNO,2012,1
MADRE DE DIOS,2013,2272
CUSCO,2014,227
CAJAMARCA,2015,218
HUANUCO,2016,728
LIMA,2016,58
ICA,2016,323
SAN MARTIN,2017,460
LIMA,2018,11
JUNIN,2019,482
LA LIBERTAD,2019,366
AMAZONAS,2020,873
LORETO,2020,7800
PUNO,2020,20
CAJAMARCA,2020,266
LIMA,2020,350
CAJAMARCA,2021,4015
JUNIN,2021,5090
LORETO,2021,5115
PIURA,2021,4072
ICA,2022,5084
CALLAO,2022,8
HUANUCO,2023,2298
SAN MARTIN,2023,6890
PIURA,2000,2620
CAJAMARCA,2000,18
JUNIN,2000,7
HUANUCO,2000,29
MADRE DE DIOS,2001,103
AMAZONAS,2002,30
PASCO,2002,22
LA LIBERTAD,2002,3
JUNIN,2003,116
AMAZONAS,2004,312
CAJAMARCA,2005,1127
ANCASH,2005,4
CAJAMARCA,2006,123
UCAYALI,2006,174
ANCASH,2006,1
AMAZONAS,2007,320
PIURA,2007,282
UCAYALI,2007,182
CAJAMARCA,2008,464
JUNIN,2008,8
ANCASH,2008,77
TUMBES,2009,830
CAJAMARCA,2010,784
MADRE DE DIOS,2011,1956
TUMBES,2011,104
PUNO,2011,2
AMAZONAS,2012,587
CAJAMARCA,2013,85
LORETO,2013,4479
AMAZONAS,2014,207
MADRE DE DIOS,2014,1117
PASCO,2014,33
SAN MARTIN,2014,1574
TUMBES,2014,1700
TUMBES,2015,7418
UCAYALI,2015,350
ANCASH,2016,454
CUSCO,2016,1100
JUNIN,2016,931
LAMBAYEQUE,2017,1579
ANCASH,2018,6
PASCO,2020,377
HUANUCO,2020,1133
AMAZONAS,2021,2369
CUSCO,2021,1982
TUMBES,2021,1455
LAMBAYEQUE,2021,843
CALLAO,2021,9
AMAZONAS,2023,3271
LA LIBERTAD,2023,26502
TUMBES,2023,12890
CAJAMARCA,2024,2850
HUANUCO,2024,775
MADRE DE DIOS,2024,505
AMAZONAS,2024,1517
LA LIBERTAD,2024,49931
PIURA,2024,32246
LORETO,2024,7996
JUNIN,2024,3331
LIMA,2024,87864
SAN MARTIN,2024,10870
CUSCO,2024,2104
ICA,2024,30407
PASCO,2024,683
UCAYALI,2024,740
LAMBAYEQUE,2024,9305
TUMBES,2024,5267
APURIMAC,2024,11
AYACUCHO,2024,362
CALLAO,2024,5756
PUNO,2024,201
ANCASH,2024,18789
AREQUIPA,2024,21
